fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-03-01,8178D,ALBACETE,ALBACETE,674,"10,3","0,0","3,8",06:20,"16,8",15:44,25,"0,8","5,6",13:29,"5,9","944,5",11,"941,9",00
2017-03-01,1055B,LEKEITIO,BIZKAIA,12,"14,0","0,0","8,7",02:40,"19,4",16:10,20,"3,3","10,0",11:20,,"1013,9",23,"1009,8",15
2017-03-01,8416Y,VALENCIA,VALENCIA,11,"15,8","0,0","10,3",06:20,"21,3",12:50,25,"1,7","7,8",04:00,,,,,
2017-03-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,3","0,0","8,1",07:03,"20,5",16:28,99,"1,4","5,8",Varias,"11,0","1018,5",Varias,"1015,6",16
2017-03-01,6205X,TORROX,MALAGA,3,"15,5","0,0","11,3",02:50,"19,7",10:40,,,,,,"1021,2",23,"1017,3",Varias
2017-03-01,C929I,HIERRO AEROPUERTO,STA. CRUZ DE TENERIFE,32,"18,8","0,0","17,7",07:40,"20,0",13:59,04,"8,3","13,9",03:07,"8,8","1015,4",00,"1012,7",05
2017-03-01,1400,FISTERRA,A CORUÑA,230,"11,6","14,2","9,7",03:30,"13,4",12:10,22,"11,1","19,2",23:59,"1,0","990,7",00,"988,9",05
2017-03-01,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,0","0,0","11,1",07:00,"20,8",11:50,99,"2,2","10,8",00:30,,"1016,6",23,"1013,3",04
2017-03-01,5530E,GRANADA AEROPUERTO,GRANADA,567,"11,0","0,0","1,0",07:02,"20,9",15:15,99,"1,7","5,8",Varias,"10,8","954,9",Varias,"951,8",15
2017-03-01,C459Z,PUERTO DE LA CRUZ,STA. CRUZ DE TENERIFE,25,"19,0","0,0","16,5",08:00,"21,6",14:50,01,"3,9","15,3",23:40,,"1017,6",01,"1014,3",15
2017-03-01,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"18,9","0,0","14,2",07:43,"23,6",15:08,99,"5,8","11,7",Varias,"8,9","1017,0",Varias,"1013,7",16
2017-03-01,6084X,FUENGIROLA,MALAGA,8,"15,6","0,0","12,9",07:00,"18,3",14:00,12,"1,9","6,1",16:20,,"1020,6",23,"1017,0",03
2017-03-01,1078I,GÜEÑES,BIZKAIA,208,"10,0","0,0","2,4",06:50,"17,5",15:20,22,"2,5","13,3",12:50,,"992,6",24,"986,9",15
